Country,Name,State,Year,Longitude,Latitude
India,Khursipar Dam,Chhattisgarh,2003,81.029266,21.097503
India,Kinkari Dam,Chhattisgarh,1982,83.089504,21.587355
India,Kodar Dam,Chhattisgarh,1981,82.086213,21.10415
India,Koinari Dam,Chhattisgarh,1980,83.179538,23.127044
India,Kokanitarai Dam,Chhattisgarh,1991,83.37018,21.907086
India,Koliyari Dam,Chhattisgarh,2005,80.768513,21.191394
India,Kopar Dam,Chhattisgarh,0,83.444075,22.535178
India,Kopra Dam,Chhattisgarh,1993,81.995917,22.049847
India,Kosarteda Dam,Chhattisgarh,2012,81.941532,19.40821
India,Kosmi Dam,Chhattisgarh,1981,81.835896,20.286836
India,Kranti Dam,Chhattisgarh,1991,81.462745,22.171975
India,Kumhari Dam,Chhattisgarh,0,81.943604,21.534641
India,Kunwarpur Dam,Chhattisgarh,1976,83.207312,23.027247
India,Kusmaha Dam,Chhattisgarh,1986,82.208029,22.852551
India,Lanchi Dam,Chhattisgarh,1986,83.179538,23.127044
India,Lohakhan - I Dam,Chhattisgarh,1982,83.150172,21.830628
India,Luti Dam,Chhattisgarh,1982,83.179538,23.127044
India,Malhaniya Dam,Chhattisgarh,2002,82.208029,22.852551
India,Manikpur Dam,Chhattisgarh,1982,81.494083,20.387674
India,Manki Dam,Chhattisgarh,2003,81.029266,21.097503
India,Maroda Dam,Chhattisgarh,1979,81.846818,20.74857
India,Matia Motinalla Dam,Chhattisgarh,1988,81.029266,21.097503
India,Morga Dam,Chhattisgarh,1987,82.208029,22.852551
India,Murma Dam,Chhattisgarh,1986,83.179538,23.127044
India,Murramsilli Dam,Chhattisgarh,1923,81.494083,20.387674
India,Murwadand Dam,Chhattisgarh,1992,82.550424,22.612172
India,Narkola Dam,Chhattisgarh,1994,83.179538,23.127044
India,Nawagaon Dam,Chhattisgarh,1961,80.768513,21.191394
India,Nawkerra Dam,Chhattisgarh,1981,83.477832,22.849419
India,Neemgaon Dam,Chhattisgarh,1992,84.148729,22.875706
India,Pairi Dam,Chhattisgarh,1977,81.846818,20.74857
India,Palgi Dam,Chhattisgarh,1986,83.205188,23.681248
India,Pandridand Dam,Chhattisgarh,1999,83.207312,23.027247
India,Paniyajob Dam,Chhattisgarh,1985,80.768513,21.191394
India,Paralkot Dam,Chhattisgarh,1981,81.175204,20.739418
India,Pasla Dam,Chhattisgarh,1978,83.179538,23.127044
India,Pindrawan Dam,Chhattisgarh,1909,81.726998,21.447358
India,Piparia Dam,Chhattisgarh,1986,81.206921,21.448335
India,Piparia Subsidiary Dam,Chhattisgarh,0,81.206921,21.448335
India,Pirha Dam,Chhattisgarh,1976,83.179538,23.127044
India,Pondi Dam,Chhattisgarh,1987,83.205188,23.681248
India,Purena Dam,Chhattisgarh,2006,81.029266,21.097503
India,Putka Dam,Chhattisgarh,1982,83.089504,21.587355
India,Putta Dam,Chhattisgarh,1980,83.207312,23.027247
India,Rajpuri Dam,Chhattisgarh,2005,83.205188,23.681248
India,Ramanujganj Dam,Chhattisgarh,1990,83.179538,23.127044
